ProductID,ProductName,Category,SubCategory,Brand,Cost,BasePrice,VolumeFactor,MarginTarget,Trend,TotalSales,Profit,Quantity,AvgPrice,AvgMargin,PriceRange
P001,UltraBook Pro X1,Electronics,Laptops,TechCorp,850,1299.99,0.7,0.35,Growing,27746495.07,9930413.09,21159,1312.228517570067,34.099344145682174,Luxury
P002,Smartphone Z10,Electronics,Phones,Pear,550,999.99,0.9,0.3,Stable,23427306.84,10822935.44,23140,1012.8878194189438,44.77812506750189,Luxury
P003,Wireless Pro Headphones,Electronics,Audio,SoundMax,65,149.99,1.2,0.55,Growing,5569071.69,3204481.94,36708,151.72041037774335,56.40740230072612,Mid-Range
P004,"4K Monitor 27""",Electronics,Monitors,ViewMax,180,329.99,0.8,0.45,Stable,8231363.42,3830023.29,24678,333.49516321559076,45.090395858708895,Premium
P005,Ergo Executive Chair,Furniture,Chairs,ComfortWorks,120,249.99,0.6,0.5,Declining,4697012.0,2495080.89,18505,253.69666776045938,51.811524200164065,Mid-Range
P006,Standing Desk Pro,Furniture,Desks,OfficePro,300,599.99,0.5,0.48,Growing,9196373.81,4708155.97,15104,607.9672384769539,49.81598396793587,Premium
P007,Smart Coffee Maker,Home Appliances,Kitchen,BrewMaster,45,89.99,1.0,0.48,Stable,2780385.67,1414452.42,30626,90.89814157547076,49.670932662920244,Budget
P008,Robot Vacuum Cleaner,Home Appliances,Cleaning,CleanTech,150,299.99,0.7,0.47,Growing,6466661.15,3308444.62,21249,303.7191196737449,49.76928842638166,Mid-Range
P009,Pro Backpack V2,Accessories,Bags,TravelGear,25,59.99,1.3,0.55,Stable,3163689.3,1874592.1,52060,60.74558594346829,58.117504965622615,Budget
P010,Mechanical Gaming Keyboard,Electronics,Peripherals,ClickTech,40,89.99,1.1,0.53,Growing,3038551.06,1717327.69,33353,91.11150085531646,55.406355451517065,Budget
P011,Fitness Tracker Elite,Electronics,Wearables,FitTech,35,79.99,1.4,0.54,Growing,3484761.59,1990830.2,43079,80.90820757343728,55.98968884867047,Budget
P012,Office Desk Lamp,Furniture,Lighting,BrightHome,18,39.99,1.5,0.52,Stable,1840366.4,1029452.69,45484,40.45870852846118,54.740607479717696,Budget
P013,External SSD 1TB,Electronics,Storage,DataFast,60,119.99,1.2,0.48,Growing,4405749.45,2241115.87,36426,121.12723793814433,49.656487422680414,Mid-Range
P014,Wireless Mouse Pro,Electronics,Peripherals,ClickTech,15,34.99,1.6,0.55,Stable,1702544.69,987212.23,48130,35.38926904061581,56.881521997621874,Budget
P015,Conference Room Table,Furniture,Tables,OfficePro,400,899.99,0.3,0.52,Declining,8357797.43,4707497.91,9193,909.4034502923976,55.17377192982456,Luxury
